Property,Alternate Name,Description,Address,Historic District,Construction Date,the_geom,Longitude,Latitude,Photo,Images,Additional Information
B P O E Elks Club,,"The Benevolent and Protective Order of Elks Club was designed in 1908 as a private clubhouse by Theo Sanders. The building has 20th century version of the 2nd Renaissance Revival. Theo Sanders went on to form a partnership with Charles Thompson, who was a highly respected and one of the greatest architect in Arkansas at the time. The building was listed in the National Register of Historic Places on 06-22-1982. There have been very few alterations to the B. P. O. E. Elks Club.",401  S Scott,,1908,POINT (-92.269481249508 34.74474431023),-92.26948125,34.74474431,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3167/PU3167.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3167/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3167/PU3167_ai.pdf
Y M C A - Democrat Building,Arkansas Democrat-Gazette Building,"Designed in 1904 by Sanders and Gibb, the YMCA Building is an example of Renaissance Revival architecture.  Although the structure has been greatly altered, it is historically significant on both a state and local level. The structure was listed on the National Register of Historic Places6/11/1992.  Its site was the original location of the territorial capital and the building itself was the first YMCA facility constructed in Arkansas.",123  E Capitol,,1906,POINT (-92.270190271071 34.743636436308),-92.27019027,34.74363644,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0220/PU0220.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0220/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0220/PU0220_ai.pdf
Farrell House,,"The Farrell House, one of the four rental houses built by Farrell located on this street, at 2109 Louisiana Street, is a Craftsman style home. Listed in the National Register of Historic Places in 10/11/1984, it was designed by noted architect Charles L. Thompson and constructed in 1914 for A. E. Farrell.  The exterior of this two-story home is stucco and brown brick and has a low hanging gabled roof. The front façade is detailed with a linear design and the overhanging roofs each feature exposed rafters for as a simple decoration.",2109  S Louisiana,Governor's Mansion Historic District,1914,POINT (-92.274756492012 34.728393864226),-92.27475649,34.72839386,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1070/PU1070.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1070/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1070/PU1070_ai.pdf
Keith House,,"Constructed in 1912 for Alex M. Keith, Charles L. Thompson used the Craftsman/Prairie styles. Located on a corner lot in the historic district, this house is quite large. The house is said to be one of Thompson’s large scale, handsomely detailed, Craftsman/Prairie styled homes. This is attributed to the windows, entry architrave, and sidelights. The structure was listed on the National Register of Historic Places on 12/22/1982.",2200  S Broadway,Governor's Mansion Historic District,1912,POINT (-92.279035664823 34.727441519707),-92.27903566,34.72744152,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1418/PU1418.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1418/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1418/PU1418_ai.pdf
Carmichael House,,"The Carmichael House and its related outbuildings remain as an intact example of a rural Pulaski County gentleman's farm. The vision John and Lily had for this land is still evident in these structures, which retain a considerable amount of integrity. The house and its surrounding buildings provide a significant contribution to the area's architectural history and insight to the Carmichael's lifestyle. They serve as a stark contrast to other Craftsman homes in the area built around the same time. The Carmichael's main house and surroundings are much more elaborate in the design of its structures, as well as, its landscape architecture.",13905 Arch Street Pike,,1935,POINT (-92.312876531487 34.624557007061),-92.31287653,34.62455701,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU10463/PU10463.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU10463/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU10463/PU10463_ai.pdf
Arkansas State Capitol,New State Capitol,The Arkansas State Capitol began construction in 1899 and was completed in 1915. The Capitol was listed in the National Register of Historic Places on 06-28-1974. The capitol resembles the U.S. Capitol and has a classical design. The designer George Mann came to Little Rock when hired for the building of the capitol. The exterior stones on the outside are native to Arkansas: Batesville Marble and Indian Limestone. There have been few alterations made to the building besides maintenance and electrical updates.,514  Woodlane,,1899,POINT (-92.289104170588 34.746629349207),-92.28910417,34.74662935,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3077/PU3077.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3077/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3077/PU3077_ai.pdf
Hanger House,,"The Frederick Hanger House is located at 1010 S. Scott. Hanger House was listed in the National Register of Historic Places on 3-15-1974. The house, a Queen Anne Victorian, was built in 1889. The Hanger house was passed down through the family until it was turned over to the Little Rock Housing Authorities in 1968. Frederick Hanger’s business centered in his real estate, planting, and government contracts.",1010  S Scott,Macarthur Park Historic District,1889,POINT (-92.27123298824 34.738552909447),-92.27123299,34.73855291,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0274/PU0274.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0274/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0274/PU0274_ai.pdf
Little Rock National Cemetery,,"The Little Rock National Cemetery, located on 2523 Confederate Boulevard, is located on 30.7 acres. Listed in the National Register of Historic Places in 12-20-1996, it was constructed in 1868.  There are several monuments to the Civil War dead; the Minnesota Monument, the confederate Monument, and others.",2523  Confederate Blvd,,0,POINT (-92.257393828676 34.724074770461),-92.25739383,34.72407477,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9976/PU9976.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9976/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9976/PU9976_ai.pdf
Capital Hotel,Denkla Block,"The Capital Hotel was listed in the National Register of Historic Places on 07-30-1974. The building has a Victorian style with Corinthian type columns on the portico. At the time of construction (1873), the owner, William P. Denckla, rented the building for offices and commercial uses. He was one of the builders for the Little Rock and Fort Smith railroad. The building was converted it into a hotel four years after it was built in 1877.",111  W Markham,,1873,POINT (-92.271257954255 34.747903823018),-92.27125795,34.74790382,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0182/PU0182.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0182/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0182/PU0182_ai.pdf
Trapnall Hall,"Trapnall, Frederic House","Frederick Trapnall, a lawyer and a politician, built Trapnall Hall in 1843. It was listed on the National Register of Historic Places on 4-13-73. The one-story Greek Revival style house was one of the earliest restorations to be undertaken in the area being restored by the Junior League in 1963. Trapnall Hall serves as the official receiving hall for the Governor of Arkansas and is rented for special events and occasions.",423  E Capitol,Macarthur Park Historic District,1843,POINT (-92.266423912235 34.743047514966),-92.26642391,34.74304751,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2782/PU2782.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2782/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2782/PU2782_ai.pdf
Vanetten House,House At 1014 S. Cumberland St.,The Vanetten House at 1012 Cumberland in Little Rock is a ca. 1900 Foursquare design by Charles L. Thompson.  The house is one of the more decorated versions of the film’s Foursquare designs.  The house has been restored and is a part of a group of renovated Foursquare houses known as Cumberland Square.  The structure was listed on the National Register of Historic Places on 12/22/1982.,1012  S Cumberland,Macarthur Park Historic District,1890,POINT (-92.270047536314 34.738415318304),-92.27004754,34.73841532,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3027/PU3027.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3027/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3027/PU3027_ai.pdf
Safferstone House,,"The Safferstone House, at 2205 Arch Street is a Spanish Mission style. Listed in the National Register of Historic Places in 12/22/1982, it was designed by architects Sanders and Ginocchio and constructed around 1920.  The two-story stucco house features a gable terra-cotta roof and lines of wooden trim along the façade. A small covered porch protrudes from the front entryway.",2205  S Arch,Governor's Mansion Historic District,1920,POINT (-92.279667026733 34.727298076222),-92.27966703,34.72729808,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1500/PU1500.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1500/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1500/PU1500_ai.pdf
Fletcher House,"Fletcher, Miss Alma House","The Fletcher House, also known as Miss Alma Fletcher House, is located at 909 S. Cumberland. The house was listed in the National Register of Historic Places on 12-22-1982. It was constructed in 1900 and has a Colonial Revival stylistic influence. The details are simple and the house is upheld by Tuscan columns. It represents a “budget” version of architect’s Charles Thompson designs.",909  S Cumberland,Macarthur Park Historic District,1900,POINT (-92.26928100669 34.739442472761),-92.26928101,34.73944247,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3176/PU3176.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3176/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3176/PU3176_ai.pdf
Remmel Apartments,Remmel Duplex #2,This two-story apartment was designed by Thompson and Harding in 1917. It is located near the Governor’s Mansion. It is a display of the Craftsman style and is one of the three Remmell multi-family apartment dwellings. The structure was listed on the National Register of Historic Places on12/22/1982.,1704  S Spring,Governor's Mansion Historic District,1917,POINT (-92.27731385479 34.732650197161),-92.27731385,34.7326502,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1274/PU1274.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1274/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1274/PU1274_ai.pdf
Thurston House,Scott House,"Designed by Charles Thompson around 1900, this house represents the firm’s preference during this period for houses which combine Queen Anne verticality and asymmetrical with Colonial Revival decorative details. The structure was listed on the National Register of Historic Places on 12/22/982.  According to the 1978 Survey, this house was the home of Sterling P. Scott of the Scott Mayer Wholesale Commission.  Mrs. Scott was prominent as a club and civic worker.",923  S Cumberland,Macarthur Park Historic District,1900,POINT (-92.269429515568 34.739081698275),-92.26942952,34.7390817,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2883/PU2883.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2883/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU2883/PU2883_ai.pdf
Ragland House,,"Designed by renowned architecture Charles L. Thompson, the Ragland House was built in 1891-1892 in Little Rock’s Quapaw Quarter. The structure was listed on the National Register of Historic Places on 6/17/1977.  Located on the southeast corner of the house is a corner-tower representative of Queen Anne architecture and Victorian elements. The home was originally owned by William H. Ragland, an appointed member of Little Rock’s Democratic Executive Committee, and his wife, Margaret Urguhart Ragland.",1617  S Center,Governor's Mansion Historic District,1890,POINT (-92.275407394421 34.733154001374),-92.27540739,34.733154,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1152/PU1152.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1152/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1152/PU1152_ai.pdf
Hemingway House,,"The Hemingway House, located at 1720 Arch Street, is a classic example of the Queen Anne style. Listed in the National Register of Historic Places in 12/22/1982, it was designed by noted architects Rickon and Thompson and constructed in 1894.  This house features asymmetrical massing, an enclosed, rounded second story balcony, and Thompson’s iconic porch columns.  This house was built for Judge W. E. Hemmingway of the Supreme Court.",1720  S Arch,Governor's Mansion Historic District,1895,POINT (-92.279839848915 34.732792400303),-92.27983985,34.7327924,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1465/PU1465.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1465/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1465/PU1465_ai.pdf
Little Rock Y M C A,Central Branch -  Little Rock Y M C,"The Central Branch of the Little Rock Y.M.C.A., or the Young Men’s Christian Association, at 524 Broadway Street, is a Spanish and Mission Revival style structure. Listed in the National Register of Historic Places in 7/2/1979, it was designed by architects Mann and Stern and constructed in 1928.  The four-story, blonde brick building replaced an earlier building at Scott and Capitol.  See YMCA Democrat Building at 123 E Capitol.",524  S Broadway,,1928,POINT (-92.276516645022 34.744115737384),-92.27651665,34.74411574,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3241/PU3241.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3241/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3241/PU3241_ai.pdf
Vaughn House,,"The Vaughn House, located at 104 Rosetta Street, is a Craftsman style house created for M. E. Vaughn. Listed in the National Register of Historic Places in 2/19/1999, it was constructed in 1914.  This one-and-one-half story house is lined with weatherboard and stucco and its side-gable roof is detailed with exposed rafters. The roof is centered with a wide dormer and the porch is surrounded by three granite pillars.",104  S Rosetta,Stifft Station Historic District,1914,POINT (-92.308950198505 34.7505815334),-92.3089502,34.75058153,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3092/PU3092.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3092/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3092/PU3092_ai.pdf
Little Rock Confederate Memorial,,"The Little Rock Confederate Memorial, located on Confederate Road, is a granite and concrete monument. Listed in the National Register of Historic Places in 5-3-1996, it was constructed in 1913 by the United Daughters of the Confederacy.  This monument was built to honor the many confederate soldiers who bravely fought in the Civil War.  At the unveiling ceremony, speaker Judge W. C. Ratcliffe gave respect to Civil War soldiers on both sides that nobly died fighting for their county.",Confederate Blvd,,0,POINT (-92.258354690742 34.724478250966),-92.25835469,34.72447825,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5271/PU5271.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5271/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5271/PU5271_ai.pdf
Block Realty-Baker House,,"The Block Realty-Baker House, located at 1900 Beechwood Street, is a wonderful example of a Late 19th and 20th Century Colonial Revival style house. Listed in the National Register of Historic Places in 9/24/2008, it was designed by architect John Parks Almand and constructed by the Little Rock Builders for the Block Realty Company in 1940.  This brick two-and-one-half story home has a gabled roof and three front façade dormers.",1900  Beechwood,,1940,POINT (-92.32461810923 34.769086290141),-92.32461811,34.76908629,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5647/PU5647.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5647/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5647/PU5647_ai.pdf
"Boaz, Bishop Hiram A House",,"The Bishop Hiram A. Boaz House, at 22 Armistead Road, is an English and Tudor Revival style house. Listed in the National Register of Historic Places in 3/7/1994, it was designed by architects Marion Fooshe and Charles L. Thompson and constructed by George H. Burden in 1926.  This two-story brick and stucco building features a hipped and gabled roof and three chimneys.  This home was built for Hiram Abiff Boaz, a bishop in the First Methodist Church.",22  Armistead,,1926,POINT (-92.322170634094 34.76708360451),-92.32217063,34.7670836,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4862/PU4862.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4862/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU4862/PU4862_ai.pdf
Turner-Ledbetter House,,"The Turner-Ledbetter House, sometimes known as just the Ledbetter House, located at 1700 South Louisiana Street, is an excellent example of the Queen Anne style in large homes.  Listed in the National Register of Historic Places in 6/18/1997, it was constructed by Susan C. Turner in 1891 as a speculative house.  This home features many different roof elevations from gables to dormers, and is decorated with ornate arches above the front and second-story porches.",1700  S Louisiana,Governor's Mansion Historic District,1891,POINT (-92.274998619763 34.732460834203),-92.27499862,34.73246083,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1036/PU1036.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1036/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1036/PU1036_ai.pdf
Boyle Park,,"Boyle Park, located at 2000 Boyle Park Road, is a 250 acre park. Listed in the National Register of Historic Places in 9-22-1995, it was constructed by the Civilian Conservation Corps around 1935 to 1937 after the land was donated in 1929 by Dr. John F. Boyle.  The park features two gable roofed pavilions, a spring house, a water tower, and a caretakers cabin; each of which are excellent examples of the Rustic Revival style of architecture.  Boyle Park was the third public park to exist in Little Rock.",2000 Boyle Park,Boyle Park,0,POINT (-92.354545739292 34.730145579325),-92.35454574,34.73014558,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9773/PU9773.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9773/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9773/PU9773_ai.pdf
"Main Building, Arkansas Baptist College",Old Administration Building,"The Main Building on Arkansas Baptist College, locally known as the Old Administration Building, at 1600 Dr. Martin Luther King Drive, is a Second Empire style structure. Red brick and stone line the façade of the building and a mansard roof with dormers covers the top.  Listed in the National Register of Historic Places in 4/30/1976, it was constructed in 1893 and played an important role in the African American history of Arkansas.  Joseph A. Booker, the President of Arkansas Baptist College, helped make it a successful school for black students.",1600  S Dr Martin Luther King Dr,Central High School Neighborhood Historic District,1893,POINT (-92.289966888472 34.734994199158),-92.28996689,34.7349942,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3153/PU3153.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3153/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3153/PU3153_ai.pdf
"Bates, Daisy House",,"The Daisy Bates House, at 1207 West 28th Street, is a Traditional style house. Listed in the National Register of Historic Places in 1/2/2001, it was constructed in 1950 and owned by Daisy Lee Gatson Bates, the president of the Arkansas NAACP, and her husband Lucius Christopher Bates.  This two-story brick house played an integral role during the desegregation of Central High School because it was considered a safe space for the Little Rock Nine.  The house frequently had violence aimed at it, but it helped set the stage for successful school integration in Arkansas.",1207  W 28th,,1950,POINT (-92.288244963328 34.721626361975),-92.28824496,34.72162636,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9757/PU9757.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9757/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU9757/PU9757_ai.pdf
Federal Reserve Bank Building,,"The Little Rock Branch of the Federal Bank Building first opened in 1919 and leased office space at the Southern Trust Building.  Construction began in 1924 on this building. The building has a Neo-Classical style and was designed by Charles Thompson and Thomas Harding. The structure was listed on the National Register of Historic Places 10/23/1986.  The Federal Reserve Bank remained on West 3rd Street until 1966 when it moved to a larger facility on Capitol Avenue, but is no longer at that Capitol Avenue location.",123  E 3Rd,,1924,POINT (-92.271590966896 34.746042753226),-92.27159097,34.74604275,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0203/PU0203.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0203/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0203/PU0203_ai.pdf
Minnesota Monument,,"The Minnesota Monument is located in the Little Rock National Cemetery and is also known as “Taps”.  This was placed on the National Register of Historic Places on May 3, 1996.  The bronze sculpture was created by sculptor John K. Daniels and depicts a union soldier with his head slightly bowed wearing a rain slicker and was dedicated on September 22, 1916.  It rest on a base of Minnesota granite. This monument recognizes 36 soldiers from the state of Minnesota that have been buried here.  There are two other identical sculptures in Memphis Tennessee and Andersonville, Georgia",2523 Confederate Boulevard,,1916,POINT (-92.256115166102 34.724699528382),-92.25611517,34.72469953,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5270S/PU5270S.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5270S/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU5270S/PU5270S_ai.pdf
"Taylor, C M Building",,"Charles M. Taylor was a well-known and respected Little Rock physician.  The structure was listed on the National Register of Historic Places 11/13/86.  It is believed that the previous building on this site burned in 1900 and was rebuilt along with the Fulk Building next door. The most prominent retail establishment to occupy this building after its reconstruction was the M.M. Cohn Company, an Arkansas department store, which leased the Taylor Building from 1906 until moving into its new building at 510 Main in 1940.",304  S Main,Main Street Commercial District,1900,POINT (-92.270936582598 34.745916614848),-92.27093658,34.74591661,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0198/PU0198.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0198/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0198/PU0198_ai.pdf
Pulaski County Courthouse - 1887 Building,,"The edifice that is now known as the Pulaski County Courthouse actually consists of two different structures: the “Old” Pulaski County Courthouse, designed by Max A. Orlopp in 1886 and constructed between 1887 and 1889, and the “New” Pulaski County Courthouse, designed by George R. Mann in 1912 and constructed between 1913 and 1914.  The tower was reconstructed in the 1990s.  The structure was listed on the National Register of Historic Places on 10/18/1979.",400  W 2nd,,1887,POINT (-92.274420098828 34.747920660388),-92.2744201,34.74792066,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3128/PU3128.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3128/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3128/PU3128_ai.pdf
Farrell House,,"The Farrell House, one of the four rental houses built by Farrell located on this street, at 2115 Louisiana Street, is a Craftsman style house. Listed in the National Register of Historic Places in 12/22/1982, it was designed by noted architect Charles L. Thompson and constructed in 1914 for A. E. Farrell.  Two gables frame the front view of this two-story brick and stucco house and a projecting gable covers the second story porch.",2115  S Louisiana,Governor's Mansion Historic District,1914,POINT (-92.27474934075 34.728124119465),-92.27474934,34.72812412,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1072/PU1072.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1072/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1072/PU1072_ai.pdf
Beal-Burrow Dry Goods Building,Archer Drug Co Building,The Beal – Burrow Dry Goods Building was opened in 1920 and listed in the National Register of Historic Places on 06-26-1995. Beal - Burrow represents the early 20th century commercial style buildings with elements of the Prairie Style. The designers were Charles Thompson and Thomas Harding. At the time the building’s design was both modern and efficient. The exterior of the building remains the same as when Beal - Burrow Company occupied the building.,107  E Markham,,1920,POINT (-92.269931050159 34.747564662819),-92.26993105,34.74756466,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0177/PU0177.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0177/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU0177/PU0177_ai.pdf
Mehaffey House,Wilson-Mehaffey House,"The Mehaffey House, located at 2102 Louisiana Street, is a Transitional Colonial Revival style home. Listed in the National Register of Historic Places in 12/22/1982, it was designed by celebrated architect Charles L. Thompson and constructed in 1905.  This two-story house is lined with white weatherboard and is covered with a hipped and gable roof.  A large wrap-around porch surrounds the house and is lined with Tuscan columns.  The façade of this house was used for the television sitcom titled Evening Shade.",2102  S Louisiana,Governor's Mansion Historic District,1885,POINT (-92.275275813612 34.728572024372),-92.27527581,34.72857202,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1074/PU1074.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1074/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU1074/PU1074_ai.pdf
Dr. Morgan Smith House,,"The Dr. Morgan Smith House, located at 5110 Stagecoach Road, is a Craftsman style house.  Listed in the National Register of Historic Places in 5/20/2009, it was constructed in 1918.  This two-story gabled roof home was constructed of wood and has a covered porch held up by cobblestone columns.  Dr. Morgan Smith, the original owner, had a prominent medical career throughout the state of Arkansas from being president of the Arkansas Medical Society to being appointed the State Health Officer.",5110  Stagecoach,,1918,POINT (-92.384479646919 34.701353862991),-92.38447965,34.70135386,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8496/PU8496.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8496/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU8496/PU8496_ai.pdf
Old Post Office & Custom House,Government Building,"Constructed in 1881, the Old Post Office Building was designed to serve the Little Rock area as a Post Office, Federal Courthouse, and Custom House. The building also housed the Collector of Internal Revenue, the Land Receiver, the Office of the Federal District Judge, the U.S, District Attorney, and the United States District Court with additional room for judges, juries, and the Office of the United States Marshall. The structure was listed on the National Register of Historic Places on 5/7/1973.",300  W 2nd,,1881,POINT (-92.273448281733 34.747815970393),-92.27344828,34.74781597,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3120/PU3120.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3120/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3120/PU3120_ai.pdf
Mopac Station,Union Station,"Built in circa 1921, replacing a similar structure of 1911 vintage which was destroyed in a fire, the Union Station building in Little Rock has served as a passenger depot on this site from 1872 until 1970. Architect E. M. Tucker of St Louis designed the current structure in the Renaissance Revival style.  President Harry S. Truman used the station as a whistle stop during his campaign for his full term in office. The structure was listed on the National Register of Historic Places on 6/17/1977.",1400  W Markham,,1921,POINT (-92.287080256064 34.750462307037),-92.28708026,34.75046231,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3098/PU3098.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3098/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3098/PU3098_ai.pdf
First Missionary Baptist Church,,"The First Missionary Baptist Church, located at 701 South Gaines Street, is a classic example of Gothic Revival and Carpenter style structure. Listed in the National Register of Historic Places in 9/29/1983, it was constructed in 1882.  This red brick building features a gabled, slate roof with two towers on either side.  The brickwork along the façade of this structure creates ornate detail that complements the intricate stain glass windows well.",701  S Gaines,,1882,POINT (-92.278417829798 34.74292261391),-92.27841783,34.74292261,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3560/PU3560.jpg,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3560/Images/phpslideshow.php,https://maps.littlerock.gov/webapps/LR_Historic_Sites/Data/PU3560/PU3560_ai.pdf
